销售政策名称,销售策略开始时间,销售策略结束时间,加价率,固定值,镶口最小值,镶口最大值,主石最小值,主石最大值,产品线,"金托类型(1:成品,2空拖女戒,3空拖)",货品类型(0期货，1现货),款式分类,销售渠道id
深圳南山体验店-钻饰50分以下2.5,,,2.5,,,0.49,,0.49,钻石,1,1,,140
深圳南山体验店-钻饰50分以上2.3,,,2.3,,0.5,,0.5,,钻石,1,1,,140
深圳南山体验店-天生一对2.6,,,2.6,,,,,,钻石,1,1,,140
深圳南山体验店-普通对戒2.5,,,2.5,,,,,,钻石,1,1,,140
深圳南山体验店-K金2.5,,,2.5,,,,,,K金,1,1,,140
深圳南山体验店-铂金3,,,3,,,,,,铂金,1,1,,140
深圳南山体验店-彩宝5,,,5,,,,,,宝石,1,1,,140
深圳南山体验店-珍珠6,,,6,,,,,,珍珠,1,1,,140
深圳南山体验店-戒托2.6,,,2.6,,,,,,钻石,3,1,,140
上海南京东路体验店-钻饰50分以下2.5,,,2.5,,,0.49,,0.49,钻石,1,1,,56
上海南京东路体验店-钻饰50分以上2.3,,,2.3,,0.5,,0.5,,钻石,1,1,,56
上海南京东路体验店-天生一对2.6,,,2.6,,,,,,钻石,1,1,,56
上海南京东路体验店-普通对戒2.5,,,2.5,,,,,,钻石,1,1,,56
上海南京东路体验店-K金2.5,,,2.5,,,,,,K金,1,1,,56
上海南京东路体验店-铂金3,,,3,,,,,,铂金,1,1,,56
上海南京东路体验店-彩宝5,,,5,,,,,,宝石,1,1,,56
上海南京东路体验店-珍珠6,,,6,,,,,,珍珠,1,1,,56
上海南京东路体验店-戒托2.6,,,2.6,,,,,,钻石,3,1,,56
苏州广济南路体验店-钻饰50分以下2.5,,,2.5,,,0.49,,0.49,钻石,1,1,,42
苏州广济南路体验店-钻饰50分以上2.3,,,2.3,,0.5,,0.5,,钻石,1,1,,42
苏州广济南路体验店-天生一对2.6,,,2.6,,,,,,钻石,1,1,,42
苏州广济南路体验店-普通对戒2.5,,,2.5,,,,,,钻石,1,1,,42
苏州广济南路体验店-K金2.5,,,2.5,,,,,,K金,1,1,,42
苏州广济南路体验店-铂金3,,,3,,,,,,铂金,1,1,,42
苏州广济南路体验店-彩宝5,,,5,,,,,,宝石,1,1,,42
苏州广济南路体验店-珍珠6,,,6,,,,,,珍珠,1,1,,42
苏州广济南路体验店-戒托2.6,,,2.6,,,,,,钻石,3,1,,42
北京西单体验店-钻饰50分以下2.5,,,2.5,,,0.49,,0.49,钻石,1,1,,4
北京西单体验店-钻饰50分以上2.3,,,2.3,,0.5,,0.5,,钻石,1,1,,4
北京西单体验店-天生一对2.6,,,2.6,,,,,,钻石,1,1,,4
北京西单体验店-普通对戒2.5,,,2.5,,,,,,钻石,1,1,,4
北京西单体验店-K金2.5,,,2.5,,,,,,K金,1,1,,4
北京西单体验店-铂金3,,,3,,,,,,铂金,1,1,,4
北京西单体验店-彩宝5,,,5,,,,,,宝石,1,1,,4
北京西单体验店-珍珠6,,,6,,,,,,珍珠,1,1,,4
北京西单路体验店-戒托2.6,,,2.6,,,,,,钻石,3,1,,4
合肥长江中路银泰中心体验店-钻饰50分以下2.5,,,2.5,,,0.49,,0.49,钻石,1,1,,47
合肥长江中路银泰中心体验店-钻饰50分以上2.3,,,2.3,,0.5,,0.5,,钻石,1,1,,47
合肥长江中路银泰中心体验店-天生一对2.6,,,2.6,,,,,,钻石,1,1,,47
合肥长江中路银泰中心体验店-普通对戒2.5,,,2.5,,,,,,钻石,1,1,,47
合肥长江中路银泰中心体验店-K金2.5,,,2.5,,,,,,K金,1,1,,47
合肥长江中路银泰中心体验店-铂金3,,,3,,,,,,铂金,1,1,,47
合肥长江中路银泰中心体验店-彩宝5,,,5,,,,,,宝石,1,1,,47
合肥长江中路银泰中心体验店-珍珠6,,,6,,,,,,珍珠,1,1,,47
合肥长江中路银泰中心体验店-戒托2.6,,,2.6,,,,,,钻石,3,1,,47
重庆解放碑体验店-钻饰50分以下2.5,,,2.5,,,0.49,,0.49,钻石,1,1,,48
重庆解放碑体验店-钻饰50分以上2.3,,,2.3,,0.5,,0.5,,钻石,1,1,,48
重庆解放碑体验店-天生一对2.6,,,2.6,,,,,,钻石,1,1,,48
重庆解放碑体验店-普通对戒2.5,,,2.5,,,,,,钻石,1,1,,48
重庆解放碑体验店-K金2.5,,,2.5,,,,,,K金,1,1,,48
重庆解放碑体验店-铂金3,,,3,,,,,,铂金,1,1,,48
重庆解放碑体验店-彩宝5,,,5,,,,,,宝石,1,1,,48
重庆解放碑体验店-珍珠6,,,6,,,,,,珍珠,1,1,,48
重庆解放碑体验店-戒托2.6,,,2.6,,,,,,钻石,3,1,,48
杭州环球中心体验店-钻饰50分以下2.5,,,2.5,,,0.49,,0.49,钻石,1,1,,30
杭州环球中心体验店-钻饰50分以上2.3,,,2.3,,0.5,,0.5,,钻石,1,1,,30
杭州环球中心体验店-天生一对2.6,,,2.6,,,,,,钻石,1,1,,30
杭州环球中心体验店-普通对戒2.5,,,2.5,,,,,,钻石,1,1,,30
杭州环球中心体验店-K金2.5,,,2.5,,,,,,K金,1,1,,30
杭州环球中心体验店-铂金3,,,3,,,,,,铂金,1,1,,30
杭州环球中心体验店-彩宝5,,,5,,,,,,宝石,1,1,,30
杭州环球中心体验店-珍珠6,,,6,,,,,,珍珠,1,1,,30
杭州环球中心体验店-戒托2.6,,,2.6,,,,,,钻石,3,1,,30
武汉佳丽广场体验店-钻饰50分以下2.5,,,2.5,,,0.49,,0.49,钻石,1,1,,40
武汉佳丽广场体验店-钻饰50分以上2.3,,,2.3,,0.5,,0.5,,钻石,1,1,,40
武汉佳丽广场体验店-天生一对2.6,,,2.6,,,,,,钻石,1,1,,40
武汉佳丽广场体验店-普通对戒2.5,,,2.5,,,,,,钻石,1,1,,40
武汉佳丽广场体验店-K金2.5,,,2.5,,,,,,K金,1,1,,40
武汉佳丽广场体验店-铂金3,,,3,,,,,,铂金,1,1,,40
武汉佳丽广场体验店-彩宝5,,,5,,,,,,宝石,1,1,,40
武汉佳丽广场体验店-珍珠6,,,6,,,,,,珍珠,1,1,,40
武汉佳丽广场体验店-戒托2.6,,,2.6,,,,,,钻石,3,1,,40
乌鲁木齐新华北路体验店-钻饰50分以下2.5,,,2.5,,,0.49,,0.49,钻石,1,1,,68
乌鲁木齐新华北路体验店-钻饰50分以上2.3,,,2.3,,0.5,,0.5,,钻石,1,1,,68
乌鲁木齐新华北路体验店-天生一对2.6,,,2.6,,,,,,钻石,1,1,,68
乌鲁木齐新华北路体验店-普通对戒2.5,,,2.5,,,,,,钻石,1,1,,68
乌鲁木齐新华北路体验店-K金2.5,,,2.5,,,,,,K金,1,1,,68
乌鲁木齐新华北路体验店-铂金3,,,3,,,,,,铂金,1,1,,68
乌鲁木齐新华北路体验店-彩宝5,,,5,,,,,,宝石,1,1,,68
乌鲁木齐新华北路体验店-珍珠6,,,6,,,,,,珍珠,1,1,,68
乌鲁木齐新华北路体验店-戒托2.6,,,2.6,,,,,,钻石,3,1,,68
深圳福田皇庭广场体验店-钻饰50分以下2.925,,,2.925,,,0.49,,0.49,钻石,1,1,,240
深圳福田皇庭广场体验店-钻饰50分以上2.691,,,2.691,,0.5,,0.5,,钻石,1,1,,240
深圳福田皇庭广场体验店-天生一对3.042,,,3.042,,,,,,钻石,1,1,,240
深圳福田皇庭广场体验店-普通对戒2.925,,,2.925,,,,,,钻石,1,1,,240
深圳福田皇庭广场体验店-K金2.925,,,2.925,,,,,,K金,1,1,,240
深圳福田皇庭广场体验店-铂金3.51,,,3.51,,,,,,铂金,1,1,,240
深圳福田皇庭广场体验店-彩宝5.85,,,5.85,,,,,,宝石,1,1,,240
深圳福田皇庭广场体验店-珍珠7.02,,,7.02,,,,,,珍珠,1,1,,240
深圳福田皇庭广场体验店-戒托3.042,,,3.042,,,,,,钻石,3,1,,240
南京新街口悦荟广场体验店-钻饰50分以下2.925,,,2.925,,,0.49,,0.49,钻石,1,1,,242
南京新街口悦荟广场体验店-钻饰50分以上2.691,,,2.691,,0.5,,0.5,,钻石,1,1,,242
南京新街口悦荟广场体验店-天生一对3.042,,,3.042,,,,,,钻石,1,1,,242
南京新街口悦荟广场体验店-普通对戒2.925,,,2.925,,,,,,钻石,1,1,,242
南京新街口悦荟广场体验店-K金2.925,,,2.925,,,,,,K金,1,1,,242
南京新街口悦荟广场体验店-铂金3.51,,,3.51,,,,,,铂金,1,1,,242
南京新街口悦荟广场体验店-彩宝5.85,,,5.85,,,,,,宝石,1,1,,242
南京新街口悦荟广场体验店-珍珠7.02,,,7.02,,,,,,珍珠,1,1,,242
南京新街口悦荟广场体验店-戒托3.042,,,3.042,,,,,,钻石,3,1,,242
武汉光谷德意风情街体验店-钻饰50分以下2.925,,,2.925,,,0.49,,0.49,钻石,1,1,,232
武汉光谷德意风情街体验店-钻饰50分以上2.691,,,2.691,,0.5,,0.5,,钻石,1,1,,232
武汉光谷德意风情街体验店-天生一对3.042,,,3.042,,,,,,钻石,1,1,,232
武汉光谷德意风情街体验店-普通对戒2.925,,,2.925,,,,,,钻石,1,1,,232
武汉光谷德意风情街体验店-K金2.925,,,2.925,,,,,,K金,1,1,,232
武汉光谷德意风情街体验店-铂金3.51,,,3.51,,,,,,铂金,1,1,,232
武汉光谷德意风情街体验店-彩宝5.85,,,5.85,,,,,,宝石,1,1,,232
武汉光谷德意风情街体验店-珍珠7.02,,,7.02,,,,,,珍珠,1,1,,232
武汉光谷德意风情街体验店-戒托3.042,,,3.042,,,,,,钻石,3,1,,232
乌鲁木齐汇嘉时代体验店-钻饰50分以下2.925,,,2.925,,,0.49,,0.49,钻石,1,1,,209
乌鲁木齐汇嘉时代体验店-钻饰50分以上2.691,,,2.691,,0.5,,0.5,,钻石,1,1,,209
乌鲁木齐汇嘉时代体验店-天生一对3.042,,,3.042,,,,,,钻石,1,1,,209
乌鲁木齐汇嘉时代体验店-普通对戒2.925,,,2.925,,,,,,钻石,1,1,,209
乌鲁木齐汇嘉时代体验店-K金2.925,,,2.925,,,,,,K金,1,1,,209
乌鲁木齐汇嘉时代体验店-铂金3.51,,,3.51,,,,,,铂金,1,1,,209
乌鲁木齐汇嘉时代体验店-彩宝5.85,,,5.85,,,,,,宝石,1,1,,209
乌鲁木齐汇嘉时代体验店-珍珠7.02,,,7.02,,,,,,珍珠,1,1,,209
乌鲁木齐汇嘉时代体验店-戒托3.042,,,3.042,,,,,,钻石,3,1,,209
青岛延吉路万达体验店-钻饰50分以下2.925,,,2.925,,,0.49,,0.49,钻石,1,1,,241
青岛延吉路万达体验店-钻饰50分以上2.691,,,2.691,,0.5,,0.5,,钻石,1,1,,241
青岛延吉路万达体验店-天生一对3.042,,,3.042,,,,,,钻石,1,1,,241
青岛延吉路万达体验店-普通对戒2.925,,,2.925,,,,,,钻石,1,1,,241
青岛延吉路万达体验店-K金2.925,,,2.925,,,,,,K金,1,1,,241
青岛延吉路万达体验店-铂金3.51,,,3.51,,,,,,铂金,1,1,,241
青岛延吉路万达体验店-彩宝5.85,,,5.85,,,,,,宝石,1,1,,241
青岛延吉路万达体验店-珍珠7.02,,,7.02,,,,,,珍珠,1,1,,241
青岛延吉路万达体验店-戒托3.042,,,3.042,,,,,,钻石,3,1,,241
