款号,按款定价,名称,托否,产品线,材质,材质1,石重上限,石重下限,价格
KLPX029759,按款定价,,,,,,,,258.00
KLRW031656,按款定价,,,,,,,,599.00
KLSM023819,按款定价,,,,,,,,249.00
KLPX029747,按款定价,,,,,,,,158.00
KLPX029745,按款定价,,,,,,,,158.00
KLPX029746,按款定价,,,,,,,,158.00
KLPX029749,按款定价,,,,,,,,158.00
KLPX029760,按款定价,,,,,,,,258.00
KLPX029762,按款定价,,,,,,,,399.00
KLPX029761,按款定价,,,,,,,,258.00
KLLM030396,按款定价,天生一对18K情侣戒C-男,成品,钻石,18K,18K,,,3999.00
KLLM030398,按款定价,天生一对18K情侣戒D-男,成品,钻石,18K,18K,,,3900.00
KLLW030397,按款定价,天生一对18K情侣戒C-女,成品,钻石,18K,18K,,,3600.00
KLLW030399,按款定价,天生一对18K情侣戒D-女,成品,钻石,18K,18K,,,3399.00
KLNX031340,按款定价,链,成品,K金,18K,18K,,,1699.00
KLRW028211,按款定价,天生一对钻戒,成品,钻石,18K,18K,,,3399.00
KLSW028213,按款定价,足金手链,成品,普通黄金,G99,足金,,,655.00
KLSW028214,按款定价,足金手链,成品,普通黄金,G99,足金,,,655.00
KLSW028215,按款定价,足金手链,成品,普通黄金,G99,足金,,,655.00
KLSW028216,按款定价,足金手链,成品,普通黄金,G99,足金,,,655.00
KLSW028217,按款定价,足金手链,成品,普通黄金,G99,足金,,,655.00
KLPW029429,按款定价,小黄鸭油压款,成品,定价黄金,G99,足金,,,759.00
KLPX029059,按款定价,小黄鸭环球之旅--浮水鸭吊坠,成品,普通黄金,G99,足金,,,999.00
KLSX029062,按款定价,小黄鸭环球之旅--方形转运珠,成品,普通黄金,G99,足金,,,499.00
KLPX029065,按款定价,小黄鸭环球之旅--爱心吊坠,成品,普通黄金,G99,足金,,,999.00
KLSW030169,按款定价,花痴小黄鸭,成品,定价黄金,G99,足金,,,655.00
KLSW030168,按款定价,Pinky小福鸭,成品,定价黄金,G99,足金,,,759.00
KLPW027970,按款定价,Froggy小青蛙 （小版）,成品,钻石,18K,18K,,,2268.00
KLPW027966,按款定价,Froggy小青蛙 （大版）,成品,钻石,18K,18K,,,2999.00
KLPW028026,按款定价,Froggy小青蛙 （大版）,成品,钻石,18K,18K,,,2999.00
KLSW030312,按款定价,Froggy 小青蛙,成品,定价黄金,G99,足金,,,625.00
KLPW027974,按款定价,Feby小金鱼（大版）,成品,K金,18K,18K,,,1888.00
KLPW027967,按款定价,Egg小金蛋（小版）,成品,K金,18K,18K,,,1199.00
KLSW030314,按款定价,egg 蛋宝,成品,定价黄金,G99,足金,,,625.00
KLPW027976,按款定价,Beeze小蜜蜂 （小版）,成品,钻石,18K,18K,,,1699.00
KLPW027975,按款定价,Beeze小蜜蜂 （大版）,成品,钻石,18K,18K,,,2668.00
KLPW028025,按款定价,Beeze小蜜蜂 （大版）,成品,钻石,18K,18K,,,2668.00
KLSW030313,按款定价,Beeze 小蜜蜂,成品,定价黄金,G99,足金,,,625.00
KLNW027978,按款定价,B.Duck专属项链18K金,成品,K金,18K,18K,,,1469.00
KLNW028029,按款定价,B.Duck专属项链18K金,成品,K金,18K,18K,,,1469.00
KLSW030167,按款定价,B.Duck小福鸭,成品,定价黄金,G99,足金,,,759.00
KLNW027977,按款定价,B.Duck系列-小天使套链,成品,钻石,18K,18K,,,2888.00
KLNW028071,按款定价,B.Duck系列-小天使套链,成品,钻石,18K,18K,,,2699.00
KLNW028072,按款定价,B.Duck系列-小天使套链,成品,钻石,18K,18K,,,2699.00
KLPW027968,按款定价,B.Duck系列-蝴蝶结,成品,钻石,18K,18K,,,2099.00
KLPW028028,按款定价,B.Duck系列-蝴蝶结,成品,钻石,18K,18K,,,2099.00
KLPW027981,按款定价,B.Duck系列-Love 18K红,成品,钻石,18K,18K,,,2599.00
KLPW028155,按款定价,B.Duck系列-Love  18K黄,成品,钻石,18K,18K,,,2599.00
KLPW027969,按款定价,B.Duck萌脸鸭头,成品,K金,18K,18K,,,1999.00
KLPW028024,按款定价,B.Duck萌脸鸭头,成品,K金,18K,18K,,,1999.00
KLSX029060,按款定价,,成品,,,,,,999.00
KLSX029061,按款定价,,成品,,,,,,1099.00
KLSX029063,按款定价,,成品,,,,,,999.00
KLPX029064,按款定价,,成品,,,,,,1099.00
KLSX029790,按款定价,,成品,,,,,,499.00
KLSX029791,按款定价,,成品,,,,,,499.00
KLSX029792,按款定价,,成品,,,,,,499.00
KLPW029793,按款定价,,成品,,,,,,799.00
KLPW029794,按款定价,,成品,,,,,,799.00
KLPW029795,按款定价,,成品,,,,,,999.00
KLPW029796,按款定价,,成品,,,,,,999.00
KLPW029786,按款定价,,成品,,,,,,1599.00
KLPW029787,按款定价,,成品,,,,,,1599.00
KLPW029788,按款定价,,成品,,,,,,1299.00
KLPW029789,按款定价,,成品,,,,,,1299.00
KLPW029785,按款定价,,成品,,,,,,199.00
KLRW027567,按款定价,UNO圆形时尚款（小版）戒指,成品,钻石,18K,18K,,,3499.00
KLPW027569,按款定价,UNO圆形时尚款（小版）吊坠,成品,钻石,18K,18K,,,3666.00
KLDW027565,按款定价,UNO圆形时尚款（小版）,成品,钻石,18K,18K,,,4599.00
KLRW027568,按款定价,UNO圆形奢华款（大版）戒指,成品,钻石,18K,18K,,,5199.00
KLPW027570,按款定价,UNO圆形奢华款（大版）吊坠,成品,钻石,18K,18K,,,5299.00
KLDW027566,按款定价,UNO圆形奢华款（大版）,成品,钻石,18K,18K,,,7799.00
KLRW027084,按款定价,UNO圆形豪华款（中版）戒指,成品,钻石,18K,18K,,,4499.00
KLDW027085,按款定价,UNO圆形豪华款（中版）耳钉,成品,钻石,18K,18K,,,6199.00
KLPW027083,按款定价,UNO圆形豪华款（中版）吊坠,成品,钻石,18K,18K,,,4599.00
KLRW027578,按款定价,UNO水滴时尚款（小版）戒指,成品,钻石,18K,18K,,,2699.00
KLDW027577,按款定价,UNO水滴时尚款（小版）耳钉,成品,钻石,18K,18K,,,4599.00
KLPW027583,按款定价,UNO水滴时尚款（小版）吊坠,成品,钻石,18K,18K,,,2799.00
KLRW027579,按款定价,UNO水滴奢华款（大版）戒指,成品,钻石,18K,18K,,,6299.00
KLDW027582,按款定价,UNO水滴奢华款（大版）耳钉,成品,钻石,18K,18K,,,7799.00
KLPW027580,按款定价,UNO水滴奢华款（大版）吊坠,成品,钻石,18K,18K,,,5499.00
KLRW027081,按款定价,UNO水滴豪华款（中版）戒指,成品,钻石,18K,18K,,,4499.00
KLDW027082,按款定价,UNO水滴豪华款（中版）耳钉,成品,钻石,18K,18K,,,6399.00
KLPW027080,按款定价,UNO水滴豪华款（中版）吊坠,成品,钻石,18K,18K,,,4199.00
KLRW027571,按款定价,UNO方形时尚款（小版）戒指,成品,钻石,18K,18K,,,3599.00
KLDW027575,按款定价,UNO方形时尚款（小版）耳钉,成品,钻石,18K,18K,,,4299.00
KLPW027574,按款定价,UNO方形时尚款（小版）吊坠,成品,钻石,18K,18K,,,2999.00
KLRW027572,按款定价,UNO方形奢华款（大版）戒指,成品,钻石,18K,18K,,,5229.00
KLDW027576,按款定价,UNO方形奢华款（大版）耳钉,成品,钻石,18K,18K,,,7899.00
KLPW027573,按款定价,UNO方形奢华款（大版）吊坠,成品,钻石,18K,18K,,,4599.00
KLRW027079,按款定价,UNO方形豪华款（中版）戒指,成品,钻石,18K,18K,,,4199.00
KLDW027078,按款定价,UNO方形豪华款（中版）耳钉,成品,钻石,18K,18K,,,5099.00
KLPW027077,按款定价,UNO方形豪华款（中版）吊坠,成品,钻石,18K,18K,,,4199.00
KLLM029845,按款定价,法兰西浪漫 -男戒,成品,K金,18K,18K,,,2100.00
KLLM029846,按款定价,香榭丽舍之吻 -男戒,成品,K金,18K,18K,,,2200.00
KLRM028210,按款定价,天生一对钻戒,成品,钻石,18K,18K,,,3900.00
KLLW030307,按款定价,天生一对钻戒-白红,成品,钻石,18K,18K,,,2499.00
KLLW030308,按款定价,天生一对钻戒-蓝红,成品,钻石,18K,18K,,,2499.00
KLRM028202,按款定价,天生一对钻戒,成品,K金,18K,18K,,,2200.00
KLRW028182,按款定价,天生一对钻戒,成品,钻石,18K,18K,,,4599.00
KLRW028188,按款定价,天生一对钻戒,成品,钻石,18K,18K,,,2299.00
KLRW028189,按款定价,天生一对钻戒,成品,钻石,18K,18K,,,2399.00
KLRW028193,按款定价,天生一对钻戒,成品,K金,18K,18K,,,1699.00
KLRW028197,按款定价,天生一对钻戒,成品,钻石,18K,18K,,,2499.00
KLRW028203,按款定价,天生一对钻戒,成品,钻石,18K,18K,,,4399.00
KLRW028207,按款定价,天生一对钻戒,成品,K金,18K,18K,,,1699.00
KLLM030387,按款定价,天生一对18K情侣戒A-男,成品,钻石,18K,18K,0.12,0.1,4200.00
KLLM030389,按款定价,天生一对18K情侣戒B-男,成品,钻石,18K,18K,0.08,0.06,3800.00
KLLW030388,按款定价,天生一对18K情侣戒A-女,成品,钻石,18K,18K,0.09,0.07,4599.00
KLLW030390,按款定价,天生一对18K情侣戒B-女,成品,钻石,18K,18K,0.06,0.05,3199.00
KLRW028184,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.099,0.05,1699.00
KLRW028184,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.149,0.1,2299.00
KLRW028184,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.18,0.15,2699.00
KLRW028184,按款定价,天生一对钻戒,成品,钻石,PT950,PT950,0.099,0.05,2699.00
KLRW028184,按款定价,天生一对钻戒,成品,钻石,PT950,PT950,0.149,0.1,3199.00
KLRW028184,按款定价,天生一对钻戒,成品,钻石,PT950,PT950,0.18,0.15,3799.00
KLRW028186,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.099,0.05,1799.00
KLRW028186,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.149,0.1,2399.00
KLRW028186,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.18,0.15,2899.00
KLRW028186,按款定价,天生一对钻戒,成品,钻石,PT950,PT950,0.099,0.05,2899.00
KLRW028186,按款定价,天生一对钻戒,成品,钻石,PT950,PT950,0.149,0.1,3399.00
KLRW028186,按款定价,天生一对钻戒,成品,钻石,PT950,PT950,0.18,0.15,4299.00
KLLW030303,按款定价,天生一对钻戒-白红,成品,钻石,18K,18K,0.099,0.05,2399.00
KLLW030303,按款定价,天生一对钻戒-白红,成品,钻石,18K,18K,0.149,0.1,2999.00
KLLW030303,按款定价,天生一对钻戒-白红,成品,钻石,18K,18K,0.18,0.15,3599.00
KLLW030304,按款定价,天生一对钻戒-蓝红,成品,钻石,18K,18K,0.099,0.05,2399.00
KLLW030304,按款定价,天生一对钻戒-蓝红,成品,钻石,18K,18K,0.149,0.1,2999.00
KLLW030304,按款定价,天生一对钻戒-蓝红,成品,钻石,18K,18K,0.18,0.15,3599.00
KLLW030306,按款定价,天生一对钻戒-蓝红,成品,钻石,18K,18K,0.099,0.05,2199.00
KLLW030306,按款定价,天生一对钻戒-蓝红,成品,钻石,18K,18K,0.149,0.1,2799.00
KLLW030306,按款定价,天生一对钻戒-蓝红,成品,钻石,18K,18K,0.18,0.15,3399.00
KLLW030305,按款定价,天生一对钻戒-白红,成品,钻石,18K,18K,0.099,0.05,2199.00
KLLW030305,按款定价,天生一对钻戒-白红,成品,钻石,18K,18K,0.149,0.1,2799.00
KLLW030305,按款定价,天生一对钻戒-白红,成品,钻石,18K,18K,0.18,0.15,3399.00
KLRW028180,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.099,0.05,2399.00
KLRW028180,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.149,0.1,2999.00
KLRW028180,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.18,0.15,3599.00
KLRW028181,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.099,0.05,2199.00
KLRW028181,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.149,0.1,2799.00
KLRW028181,按款定价,天生一对钻戒,成品,钻石,18K,18K,0.18,0.15,3399.00
KLLM030387,按款定价,天生一对18K情侣戒A-男,空托,钻石,18K,18K,,,2299.00
KLPW030391,按款定价,天生一对18K吊坠,空托,钻石,18K,18K,1,0.3,1199.00
KLRW030392,按款定价,天生一对18K女戒B,空托,钻石,18K,18K,0.4,0.2,1899.00
KLRW030392,按款定价,天生一对18K女戒B,空托,钻石,18K,18K,0.7,0.401,2199.00
KLRW030392,按款定价,天生一对18K女戒B,空托,钻石,18K,18K,1,0.701,2499.00
KLRW030393,按款定价,天生一对18K女戒C,空托,钻石,18K,18K,0.4,0.2,2499.00
KLRW030393,按款定价,天生一对18K女戒C,空托,钻石,18K,18K,0.7,0.401,2699.00
KLRW030393,按款定价,天生一对18K女戒C,空托,钻石,18K,18K,1,0.701,2899.00
KLRW030394,按款定价,天生一对18K女戒D,空托,钻石,18K,18K,0.4,0.2,2999.00
KLRW030394,按款定价,天生一对18K女戒D,空托,钻石,18K,18K,0.7,0.401,3199.00
KLRW030394,按款定价,天生一对18K女戒D,空托,钻石,18K,18K,1,0.701,3299.00
KLRW030395,按款定价,天生一对18K女戒E,空托,钻石,18K,18K,0.4,0.2,2399.00
KLRW030395,按款定价,天生一对18K女戒E,空托,钻石,18K,18K,0.7,0.401,2599.00
KLRW030395,按款定价,天生一对18K女戒E,空托,钻石,18K,18K,1,0.701,2699.00
KLRW030402,按款定价,天生一对18K女戒F,空托,钻石,18K,18K,0.549,0.5,2699.00
KLLM030400,按款定价,天生一对18K情侣戒E-男,空托,钻石,18K,18K,,,3299.00
KLLW030401,按款定价,天生一对18K情侣戒E-女,空托,钻石,18K,18K,,,1999.00
KLRM028187,按款定价,天生一对钻戒,空托,钻石,18K,18K,,,2999.00
KLRM028187,按款定价,天生一对钻戒,空托,钻石,PT950,PT950,,,6199.00
KLRW028178,按款定价,天生一对钻戒,空托,钻石,18K,18K,0.499,0.05,2099.00
KLRW028178,按款定价,天生一对钻戒,空托,钻石,PT950,PT950,0.499,0.05,3999.00
KLRW028178,按款定价,天生一对钻戒,空托,钻石,18K,18K,0.999,0.5,2399.00
KLRW028178,按款定价,天生一对钻戒,空托,钻石,PT950,PT950,0.999,0.5,4599.00
KLRW028178,按款定价,天生一对钻戒,空托,钻石,18K,18K,1.499,1,3299.00
KLRW028178,按款定价,天生一对钻戒,空托,钻石,PT950,PT950,1.499,1,6299.00
KLRW028179,按款定价,天生一对钻戒,空托,钻石,18K,18K,0.499,0.2,1599.00
KLRW028179,按款定价,天生一对钻戒,空托,钻石,PT950,PT950,0.499,0.2,3099.00
KLRW028179,按款定价,天生一对钻戒,空托,钻石,18K,18K,0.999,0.5,2199.00
KLRW028179,按款定价,天生一对钻戒,空托,钻石,PT950,PT950,0.999,0.5,3999.00
KLRW028179,按款定价,天生一对钻戒,空托,钻石,18K,18K,1.499,1,2999.00
KLRW028179,按款定价,天生一对钻戒,空托,钻石,PT950,PT950,1.499,1,5699.00
KLRW029533,按款定价,,空托,钻石,PT950,PT950,,,3900.00
KLRW029476,按款定价,,空托,钻石,PT950,PT950,,,3400.00
KLRW029478,按款定价,,空托,钻石,PT950,PT950,,,3900.00
KLRW029480,按款定价,,空托,钻石,PT950,PT950,,,4100.00
KLRW029484,按款定价,,空托,钻石,PT950,PT950,,,3800.00
KLRW029475,按款定价,,空托,钻石,PT950,PT950,,,3600.00
KLRW029477,按款定价,,空托,钻石,PT950,PT950,,,3700.00
KLRW029483,按款定价,,空托,钻石,PT950,PT950,,,3400.00
KLRW029485,按款定价,,空托,钻石,PT950,PT950,,,3400.00
KLRW029486 ,按款定价,,空托,钻石,PT950,PT950,,,3600.00
KLRW030548,按款定价,,空托,钻石,PT950,PT950,,,4599.00
KLRW030549,按款定价,,空托,钻石,PT950,PT950,,,4299.00
KLRW030537,按款定价,,空托,钻石,PT950,PT950,,,4399.00
KLRW030539,按款定价,,空托,钻石,PT950,PT950,,,3599.00
KLRW030540,按款定价,,空托,钻石,PT950,PT950,,,4799.00
KLRW030536,按款定价,,空托,钻石,PT950,PT950,,,3599.00
KLRW030538,按款定价,,空托,钻石,PT950,PT950,,,3599.00
KLRW030541,按款定价,,空托,钻石,PT950,PT950,,,3599.00
KLRW030542,按款定价,,空托,钻石,PT950,PT950,,,3599.00
KLRW030543,按款定价,,空托,钻石,PT950,PT950,,,3699.00
KLRW031552,按款定价,,空托,钻石,PT950,PT950,,,3499.00
KLRW031553,按款定价,,空托,钻石,PT950,PT950,,,3799.00
KLRW031554,按款定价,,空托,钻石,PT950,PT950,,,3599.00
KLRW031555,按款定价,,空托,钻石,PT950,PT950,,,4399.00
KLRW031557,按款定价,,空托,钻石,PT950,PT950,,,3599.00
KLRW031558,按款定价,,空托,钻石,PT950,PT950,,,3599.00
KLRW029533,按款定价,,空托,钻石,18K,18K,,,3000.00
KLRW029476,按款定价,,空托,钻石,18K,18K,,,2400.00
KLRW029478,按款定价,,空托,钻石,18K,18K,,,2800.00
KLRW029480,按款定价,,空托,钻石,18K,18K,,,2900.00
KLRW029484,按款定价,,空托,钻石,18K,18K,,,2700.00
KLRW029475,按款定价,,空托,钻石,18K,18K,,,2600.00
KLRW029477,按款定价,,空托,钻石,18K,18K,,,2600.00
KLRW029483,按款定价,,空托,钻石,18K,18K,,,2400.00
KLRW029485,按款定价,,空托,钻石,18K,18K,,,2500.00
KLRW029486 ,按款定价,,空托,钻石,18K,18K,,,2600.00
KLRW030548,按款定价,,空托,钻石,18K,18K,,,3599.00
KLRW030549,按款定价,,空托,钻石,18K,18K,,,3299.00
KLRW030537,按款定价,,空托,钻石,18K,18K,,,3399.00
KLRW030539,按款定价,,空托,钻石,18K,18K,,,2599.00
KLRW030540,按款定价,,空托,钻石,18K,18K,,,3799.00
KLRW030536,按款定价,,空托,钻石,18K,18K,,,2599.00
KLRW030538,按款定价,,空托,钻石,18K,18K,,,2599.00
KLRW030541,按款定价,,空托,钻石,18K,18K,,,2599.00
KLRW030542,按款定价,,空托,钻石,18K,18K,,,2599.00
KLRW030543,按款定价,,空托,钻石,18K,18K,,,2699.00
KLRW031552,按款定价,,空托,钻石,18K,18K,,,2499.00
KLRW031553,按款定价,,空托,钻石,18K,18K,,,2799.00
KLRW031554,按款定价,,空托,钻石,18K,18K,,,2599.00
KLRW031555,按款定价,,空托,钻石,18K,18K,,,3399.00
KLRW031557,按款定价,,空托,钻石,18K,18K,,,2599.00
KLRW031558,按款定价,,空托,钻石,18K,18K,,,2599.00
KLPW031603,按款定价,,空托,钻石,18K,18K,,,1599.00
KLPW031604,按款定价,,空托,钻石,18K,18K,,,1999.00
KLPW031605,按款定价,,空托,钻石,18K,18K,,,1499.00
KLPW031606,按款定价,,空托,钻石,18K,18K,,,2499.00
KLPW031607,按款定价,,空托,钻石,18K,18K,,,1999.00
KLPW031608,按款定价,,空托,钻石,18K,18K,,,1799.00
